sample,target,drone_x,drone_y,altitude_m,roll_deg,pitch_deg,yaw_deg,px,py,depth_m,off_center_px,incidence_deg,mask_px,gt_x,gt_y,attitude_corrected,est_x,est_y,est_lat,est_lon,error_m
1,Cylinder_0_Cylinder6_3,33.924,-5.538,30.0,-1.45,10.65,68.36,717.1,643.9,26.844,294.2,24.7,877,27.5,-10.6,True,27.797,-10.377,35.17984971,129.07548595,0.372
1,Cylinder_0_Cylinder6_3,33.924,-5.538,30.0,-1.45,10.65,68.36,717.1,643.9,26.844,294.2,24.7,877,27.5,-10.6,False,26.527,-15.413,,,4.911
2,SkeletalMeshActor_16,13.157,-13.031,12.0,-1.41,7.17,234.03,535.1,476.5,11.742,156.8,13.8,667,12.47,-12.283,True,12.215,-11.544,35.17970973,129.07547312,0.781
2,SkeletalMeshActor_16,13.157,-13.031,12.0,-1.41,7.17,234.03,535.1,476.5,11.742,156.8,13.8,667,12.47,-12.283,False,12.854,-10.17,,,2.147
3,1M_Cube_0_StaticMeshActor_5,4.265,-9.629,12.0,-13.93,11.39,215.86,230.5,499.2,10.133,432.5,34.1,3599,1.877,-6.484,True,1.935,-6.558,35.17961738,129.07552792,0.095
3,1M_Cube_0_StaticMeshActor_5,4.265,-9.629,12.0,-13.93,11.39,215.86,230.5,499.2,10.133,432.5,34.1,3599,1.877,-6.484,False,2.253,-3.083,,,3.422
4,SkeletalMeshActor_24,-2.309,-7.818,20.0,-6.33,-12.89,275.86,635.0,315.0,20.344,45.2,4.0,82,-0.092,-4.574,True,-0.552,-4.499,35.17959504,129.07555055,0.467
4,SkeletalMeshActor_24,-2.309,-7.818,20.0,-6.33,-12.89,275.86,635.0,315.0,20.344,45.2,4.0,82,-0.092,-4.574,False,-2.319,-9.256,,,5.185
5,Cylinder_0_Cylinder3_0,28.195,-9.317,12.0,13.74,10.42,0.2,849.6,641.9,9.438,351.3,28.8,5883,25.7,-8.5,True,25.895,-8.564,35.17983262,129.07550587,0.205
5,Cylinder_0_Cylinder3_0,28.195,-9.317,12.0,13.74,10.42,0.2,849.6,641.9,9.438,351.3,28.8,5883,25.7,-8.5,False,24.028,-6.24,,,2.811
6,1M_Cube_Chamfer_0_TemplateCube_Rounded_102,21.684,12.559,12.0,-3.08,-12.81,226.6,766.7,170.5,9.227,228.0,19.6,270794,21.9,9.1,True,22.927,10.497,35.17980596,129.07571537,1.734
6,1M_Cube_Chamfer_0_TemplateCube_Rounded_102,21.684,12.559,12.0,-3.08,-12.81,226.6,766.7,170.5,9.227,228.0,19.6,270794,21.9,9.1,False,21.134,9.318,,,0.796
7,1M_Cube_Chamfer_0_TemplateCube_Rounded_154,-17.967,46.379,25.0,8.09,-2.42,138.15,896.2,465.7,21.656,277.2,23.4,91629,-18.1,39.1,True,-18.286,39.231,35.17943573,129.07603117,0.228
7,1M_Cube_Chamfer_0_TemplateCube_Rounded_154,-17.967,46.379,25.0,8.09,-2.42,138.15,896.2,465.7,21.656,277.2,23.4,91629,-18.1,39.1,False,-21.087,37.535,,,3.372
8,Cylinder_0_Cylinder3_0,33.051,-15.993,25.0,10.93,14.25,213.39,505.4,461.6,24.781,168.6,14.8,1167,25.7,-8.5,True,26.037,-8.861,35.17983389,129.07550261,0.494
8,Cylinder_0_Cylinder3_0,33.051,-15.993,25.0,10.93,14.25,213.39,505.4,461.6,24.781,168.6,14.8,1167,25.7,-8.5,False,33.468,-9.478,,,7.829
9,1M_Cube_Chamfer_0_TemplateCube_Rounded_101,17.391,13.516,30.0,7.18,13.21,70.77,668.7,359.8,28.297,28.7,2.6,48678,21.9,19.1,True,21.67,18.869,35.17979466,129.07580739,0.326
9,1M_Cube_Chamfer_0_TemplateCube_Rounded_101,17.391,13.516,30.0,7.18,13.21,70.77,668.7,359.8,28.297,28.7,2.6,48678,21.9,19.1,False,16.195,13.945,,,7.689
10,Cylinder_0_Cylinder8,15.353,-30.978,25.0,-11.88,-13.84,346.57,526.4,248.8,22.875,159.0,14.0,732,13.8,-29.8,True,13.874,-29.868,35.17972464,129.07527173,0.101
10,Cylinder_0_Cylinder8,15.353,-30.978,25.0,-11.88,-13.84,346.57,526.4,248.8,22.875,159.0,14.0,732,13.8,-29.8,False,18.274,-35.852,,,7.526
11,1M_Cube_Chamfer_0_TemplateCube_Rounded_100,28.255,13.956,25.0,2.89,-6.2,63.16,522.7,361.3,22.875,117.3,10.4,75374,31.9,9.1,True,31.896,9.323,35.17988652,129.07570246,0.223
11,1M_Cube_Chamfer_0_TemplateCube_Rounded_100,28.255,13.956,25.0,2.89,-6.2,63.16,522.7,361.3,22.875,117.3,10.4,75374,31.9,9.1,False,31.973,12.021,,,2.922
12,SkeletalMeshActor_25,0.745,-11.506,12.0,4.61,3.48,26.69,585.8,288.2,12.062,89.9,8.0,978,3.435,-11.357,True,3.491,-12.35,35.17963136,129.07546427,0.994
12,SkeletalMeshActor_25,0.745,-11.506,12.0,4.61,3.48,26.69,585.8,288.2,12.062,89.9,8.0,978,3.435,-11.357,False,2.413,-11.811,,,1.119
13,1M_Cube_Chamfer_0_TemplateCube_Rounded_102,24.29,4.964,16.0,-2.66,-7.53,16.78,819.6,312.5,13.672,185.8,16.2,208767,21.9,9.1,True,22.274,9.022,35.17980009,129.07569916,0.382
13,1M_Cube_Chamfer_0_TemplateCube_Rounded_102,24.29,4.964,16.0,-2.66,-7.53,16.78,819.6,312.5,13.672,185.8,16.2,208767,21.9,9.1,False,24.155,8.931,,,2.261
14,Cylinder_0_Cylinder2,7.372,-18.823,20.0,-12.23,-10.85,162.12,678.2,285.7,22.188,83.6,7.4,1541,7.0,-24.5,True,6.956,-24.99,35.17966249,129.07532535,0.492
14,Cylinder_0_Cylinder2,7.372,-18.823,20.0,-12.23,-10.85,162.12,678.2,285.7,22.188,83.6,7.4,1541,7.0,-24.5,False,4.513,-19.293,,,5.77
15,Cylinder_0_Cylinder5,15.72,-28.974,30.0,-13.95,-14.46,327.68,582.0,299.4,28.953,83.9,7.5,632,14.2,-22.5,True,14.272,-22.81,35.1797282,129.07534931,0.318
15,Cylinder_0_Cylinder5,15.72,-28.974,30.0,-13.95,-14.46,327.68,582.0,299.4,28.953,83.9,7.5,632,14.2,-22.5,False,16.636,-32.656,,,10.444
16,SkeletalMeshActor_23,7.401,-0.189,20.0,4.09,-0.53,262.98,512.3,518.6,19.797,203.6,17.6,411,1.848,5.556,True,2.713,5.513,35.17962438,129.0756606,0.867
16,SkeletalMeshActor_23,7.401,-0.189,20.0,4.09,-0.53,262.98,512.3,518.6,19.797,203.6,17.6,411,1.848,5.556,False,4.081,5.163,,,2.268
