altitude_m,fov_deg,image_width_px,ground_width_m,gsd_cm_per_px,person_px,vehicle_px,person_detectable,lane_width_m,passes,search_time_min,battery_ok,altitude_safe,e2e_fps_measured,e2e_ok
10,60,640,11.5,1.8,27.7,249.4,True,9.2,11,6.1,True,False,,
10,60,960,11.5,1.2,41.6,374.1,True,9.2,11,6.1,True,False,,
10,60,1280,11.5,0.9,55.4,498.8,True,9.2,11,6.1,True,False,,
10,90,640,20.0,3.12,16.0,144.0,False,16.0,7,3.9,True,False,,
10,90,960,20.0,2.08,24.0,216.0,True,16.0,7,3.9,True,False,,
10,90,1280,20.0,1.56,32.0,288.0,True,16.0,7,3.9,True,False,,
10,120,640,34.6,5.41,9.2,83.1,False,27.7,4,2.2,True,False,,
10,120,960,34.6,3.61,13.9,124.7,False,27.7,4,2.2,True,False,,
10,120,1280,34.6,2.71,18.5,166.3,False,27.7,4,2.2,True,False,,
15,60,640,17.3,2.71,18.5,166.3,False,13.9,8,4.4,True,True,,
15,60,960,17.3,1.8,27.7,249.4,True,13.9,8,4.4,True,True,,
15,60,1280,17.3,1.35,37.0,332.6,True,13.9,8,4.4,True,True,,
15,90,640,30.0,4.69,10.7,96.0,False,24.0,5,2.8,True,True,,
15,90,960,30.0,3.12,16.0,144.0,False,24.0,5,2.8,True,True,,
15,90,1280,30.0,2.34,21.3,192.0,True,24.0,5,2.8,True,True,,
15,120,640,52.0,8.12,6.2,55.4,False,41.6,3,1.7,True,True,,
15,120,960,52.0,5.41,9.2,83.1,False,41.6,3,1.7,True,True,,
15,120,1280,52.0,4.06,12.3,110.9,False,41.6,3,1.7,True,True,,
20,60,640,23.1,3.61,13.9,124.7,False,18.5,6,3.3,True,True,,
20,60,960,23.1,2.41,20.8,187.1,True,18.5,6,3.3,True,True,,
20,60,1280,23.1,1.8,27.7,249.4,True,18.5,6,3.3,True,True,,
20,90,640,40.0,6.25,8.0,72.0,False,32.0,4,2.2,True,True,,
20,90,960,40.0,4.17,12.0,108.0,False,32.0,4,2.2,True,True,,
20,90,1280,40.0,3.12,16.0,144.0,False,32.0,4,2.2,True,True,,
20,120,640,69.3,10.83,4.6,41.6,False,55.4,2,1.1,True,True,,
20,120,960,69.3,7.22,6.9,62.4,False,55.4,2,1.1,True,True,,
20,120,1280,69.3,5.41,9.2,83.1,False,55.4,2,1.1,True,True,,
25,60,640,28.9,4.51,11.1,99.8,False,23.1,5,2.8,True,True,,
25,60,960,28.9,3.01,16.6,149.6,False,23.1,5,2.8,True,True,,
25,60,1280,28.9,2.26,22.2,199.5,True,23.1,5,2.8,True,True,,
25,90,640,50.0,7.81,6.4,57.6,False,40.0,3,1.7,True,True,,
25,90,960,50.0,5.21,9.6,86.4,False,40.0,3,1.7,True,True,,
25,90,1280,50.0,3.91,12.8,115.2,False,40.0,3,1.7,True,True,,
25,120,640,86.6,13.53,3.7,33.3,False,69.3,2,1.1,True,True,,
25,120,960,86.6,9.02,5.5,49.9,False,69.3,2,1.1,True,True,,
25,120,1280,86.6,6.77,7.4,66.5,False,69.3,2,1.1,True,True,,
30,60,640,34.6,5.41,9.2,83.1,False,27.7,4,2.2,True,True,,
30,60,960,34.6,3.61,13.9,124.7,False,27.7,4,2.2,True,True,,
30,60,1280,34.6,2.71,18.5,166.3,False,27.7,4,2.2,True,True,,
30,90,640,60.0,9.37,5.3,48.0,False,48.0,3,1.7,True,True,,
30,90,960,60.0,6.25,8.0,72.0,False,48.0,3,1.7,True,True,,
30,90,1280,60.0,4.69,10.7,96.0,False,48.0,3,1.7,True,True,,
30,120,640,103.9,16.24,3.1,27.7,False,83.1,2,1.1,True,True,,
30,120,960,103.9,10.83,4.6,41.6,False,83.1,2,1.1,True,True,,
30,120,1280,103.9,8.12,6.2,55.4,False,83.1,2,1.1,True,True,,
35,60,640,40.4,6.31,7.9,71.3,False,32.3,4,2.2,True,True,,
35,60,960,40.4,4.21,11.9,106.9,False,32.3,4,2.2,True,True,,
35,60,1280,40.4,3.16,15.8,142.5,False,32.3,4,2.2,True,True,,
35,90,640,70.0,10.94,4.6,41.1,False,56.0,2,1.1,True,True,,
35,90,960,70.0,7.29,6.9,61.7,False,56.0,2,1.1,True,True,,
35,90,1280,70.0,5.47,9.1,82.3,False,56.0,2,1.1,True,True,,
35,120,640,121.2,18.94,2.6,23.8,False,97.0,2,1.1,True,True,,
35,120,960,121.2,12.63,4.0,35.6,False,97.0,2,1.1,True,True,,
35,120,1280,121.2,9.47,5.3,47.5,False,97.0,2,1.1,True,True,,
40,60,640,46.2,7.22,6.9,62.4,False,37.0,3,1.7,True,True,,
40,60,960,46.2,4.81,10.4,93.5,False,37.0,3,1.7,True,True,,
40,60,1280,46.2,3.61,13.9,124.7,False,37.0,3,1.7,True,True,,
40,90,640,80.0,12.5,4.0,36.0,False,64.0,2,1.1,True,True,,
40,90,960,80.0,8.33,6.0,54.0,False,64.0,2,1.1,True,True,,
40,90,1280,80.0,6.25,8.0,72.0,False,64.0,2,1.1,True,True,,
40,120,640,138.6,21.65,2.3,20.8,False,110.9,1,0.6,True,True,,
40,120,960,138.6,14.43,3.5,31.2,False,110.9,1,0.6,True,True,,
40,120,1280,138.6,10.83,4.6,41.6,False,110.9,1,0.6,True,True,,
45,60,640,52.0,8.12,6.2,55.4,False,41.6,3,1.7,True,True,,
45,60,960,52.0,5.41,9.2,83.1,False,41.6,3,1.7,True,True,,
45,60,1280,52.0,4.06,12.3,110.9,False,41.6,3,1.7,True,True,,
45,90,640,90.0,14.06,3.6,32.0,False,72.0,2,1.1,True,True,,
45,90,960,90.0,9.37,5.3,48.0,False,72.0,2,1.1,True,True,,
45,90,1280,90.0,7.03,7.1,64.0,False,72.0,2,1.1,True,True,,
45,120,640,155.9,24.36,2.1,18.5,False,124.7,1,0.6,True,True,,
45,120,960,155.9,16.24,3.1,27.7,False,124.7,1,0.6,True,True,,
45,120,1280,155.9,12.18,4.1,37.0,False,124.7,1,0.6,True,True,,
50,60,640,57.7,9.02,5.5,49.9,False,46.2,3,1.7,True,True,,
50,60,960,57.7,6.01,8.3,74.8,False,46.2,3,1.7,True,True,,
50,60,1280,57.7,4.51,11.1,99.8,False,46.2,3,1.7,True,True,,
50,90,640,100.0,15.62,3.2,28.8,False,80.0,2,1.1,True,True,,
50,90,960,100.0,10.42,4.8,43.2,False,80.0,2,1.1,True,True,,
50,90,1280,100.0,7.81,6.4,57.6,False,80.0,2,1.1,True,True,,
50,120,640,173.2,27.06,1.8,16.6,False,138.6,1,0.6,True,True,,
50,120,960,173.2,18.04,2.8,24.9,False,138.6,1,0.6,True,True,,
50,120,1280,173.2,13.53,3.7,33.3,False,138.6,1,0.6,True,True,,
