image,model,total,person,vehicle,mean_conf
0000001_02999_d_0000005.jpg,yolov8n_coco,13,0,10,0.453
0000001_02999_d_0000005.jpg,yolov8s_visdrone,98,17,81,0.548
0000275_01401_d_0000504.jpg,yolov8n_coco,20,2,18,0.437
0000275_01401_d_0000504.jpg,yolov8s_visdrone,66,21,45,0.582
9999938_00000_d_0000041.jpg,yolov8n_coco,2,0,2,0.343
9999938_00000_d_0000041.jpg,yolov8s_visdrone,19,7,12,0.633
9999948_00000_d_0000017.jpg,yolov8n_coco,15,0,15,0.495
9999948_00000_d_0000017.jpg,yolov8s_visdrone,34,5,29,0.707
9999955_00000_d_0000174.jpg,yolov8n_coco,5,0,5,0.559
9999955_00000_d_0000174.jpg,yolov8s_visdrone,20,11,9,0.597
9999969_00000_d_0000025.jpg,yolov8n_coco,15,9,6,0.75
9999969_00000_d_0000025.jpg,yolov8s_visdrone,28,13,15,0.633
9999984_00000_d_0000096.jpg,yolov8n_coco,7,5,0,0.419
9999984_00000_d_0000096.jpg,yolov8s_visdrone,49,47,2,0.472
9999999_00408_d_0000179.jpg,yolov8n_coco,19,11,8,0.481
9999999_00408_d_0000179.jpg,yolov8s_visdrone,121,61,60,0.557
