conf,summer_recall,summer_precision,winter_recall,winter_precision,winter_f1,laying_recall,bg_fp_per_image,bg_dirty_pct
0.05,0.7095,0.5927,0.2662,0.8164,0.4015,0.7129,0.422,28.7
0.1,0.6845,0.7045,0.2454,0.8643,0.3822,0.6603,0.308,21.8
0.15,0.6678,0.7707,0.2345,0.8842,0.3706,0.6364,0.26,20.4
0.2,0.6494,0.8062,0.2251,0.9058,0.3606,0.6268,0.239,19.7
0.25,0.6419,0.8432,0.2173,0.9126,0.351,0.6172,0.197,17.0
0.3,0.6294,0.8627,0.2118,0.9156,0.344,0.5933,0.18,15.2
0.35,0.6144,0.8867,0.2077,0.9268,0.3393,0.5742,0.142,12.8
0.4,0.5952,0.8957,0.2024,0.9362,0.3329,0.5502,0.128,11.4
0.45,0.5793,0.9156,0.1954,0.9352,0.3233,0.5263,0.107,9.7
0.5,0.5668,0.9276,0.1928,0.9416,0.3201,0.5215,0.09,8.7
0.55,0.5392,0.9417,0.1887,0.9465,0.3146,0.4785,0.076,7.3
0.6,0.5242,0.9617,0.1806,0.952,0.3036,0.4641,0.066,6.2
0.7,0.4591,0.9786,0.1671,0.9727,0.2851,0.4067,0.028,2.8
0.8,0.328,0.9949,0.1319,0.9961,0.233,0.2679,0.003,0.3
