conf,summer_recall,summer_precision,winter_recall,winter_precision,winter_f1,laying_recall,bg_fp_per_image,bg_dirty_pct
0.05,0.7062,0.6817,0.9149,0.7226,0.8074,0.6746,1.439,66.1
0.1,0.6836,0.7562,0.9045,0.7797,0.8375,0.6411,1.17,59.9
0.15,0.6628,0.802,0.8957,0.8072,0.8491,0.6077,0.986,55.7
0.2,0.6386,0.827,0.8865,0.8261,0.8553,0.5646,0.824,49.8
0.25,0.6177,0.8516,0.8819,0.8451,0.8631,0.5311,0.723,45.7
0.3,0.5985,0.868,0.8743,0.8622,0.8682,0.512,0.644,42.9
0.35,0.5876,0.8822,0.8678,0.8772,0.8725,0.488,0.602,41.9
0.4,0.5718,0.8931,0.8608,0.89,0.8751,0.4737,0.533,38.4
0.45,0.5501,0.8978,0.8519,0.9049,0.8776,0.4498,0.498,36.3
0.5,0.5334,0.9013,0.8447,0.9209,0.8811,0.4402,0.446,33.2
0.55,0.5175,0.9078,0.8374,0.9376,0.8847,0.4306,0.374,31.1
0.6,0.4908,0.9231,0.8251,0.9485,0.8825,0.4067,0.301,26.0
0.7,0.4274,0.9446,0.7947,0.9701,0.8737,0.3301,0.18,15.2
0.8,0.3047,0.9707,0.7309,0.9901,0.841,0.2201,0.042,3.5
