conf,summer_recall,summer_precision,winter_recall,winter_precision,winter_f1,laying_recall,bg_fp_per_image,bg_dirty_pct
0.05,0.2621,0.1344,0.5902,0.3563,0.4444,0.1005,4.54,74.4
0.1,0.227,0.2016,0.5522,0.5438,0.548,0.067,2.609,63.7
0.15,0.2028,0.2497,0.5285,0.6864,0.5972,0.0526,1.841,58.1
0.2,0.1912,0.3009,0.5048,0.7769,0.612,0.0478,1.37,55.0
0.25,0.1795,0.3502,0.4814,0.8459,0.6136,0.0478,1.042,50.9
0.3,0.172,0.4047,0.4655,0.8861,0.6104,0.0478,0.803,45.0
0.35,0.1619,0.4652,0.4528,0.9168,0.6062,0.0383,0.64,39.4
0.4,0.1494,0.5159,0.4385,0.9392,0.5978,0.0239,0.54,34.3
0.45,0.1402,0.5957,0.4267,0.9624,0.5913,0.0191,0.46,31.5
0.5,0.1269,0.6816,0.4161,0.9756,0.5834,0.0191,0.353,26.3
0.55,0.1135,0.7598,0.4015,0.9878,0.571,0.0191,0.277,21.5
0.6,0.1035,0.8611,0.3817,0.9912,0.5512,0.0144,0.204,17.0
0.7,0.0743,0.9271,0.3328,0.9992,0.4993,0.0,0.066,5.5
0.8,0.0376,1.0,0.2607,1.0,0.4136,0.0,0.0,0.0
